institution,type,policy_scope,upstream_oil_excluded,policy_url,date_checked,notes
BNP Paribas,bank,"Group-wide financing and investment; Oil & Gas Sector Policy (10 May 2023 version, still the live document as of May 2026)",partial,https://web.archive.org/web/20260513095044/https://cdn-group.bnpparibas.com/uploads/file/bnpparibas_csr_sector_policy_oil_gas.pdf,2026-07-19,"Policy 2.3.1: 'BNP Paribas no longer provides financing for developments of new oil and gas fields, regardless of the means of financing'; also excludes all financing dedicated to new gas E&P capacities; targets 80% cut in upstream oil financing by 2030 (residual <EUR 1bn); excludes dedicated finance for non-conventional O&G (shale, oil sands, extra-heavy, Arctic per thresholds) and any company holding O&G reserves in the Amazon. Live PDF at cdn-group.bnpparibas.com/uploads/file/bnpparibas_csr_sector_policy_oil_gas.pdf serves in a browser but blocks automated fetch (Akamai 403); content read from the 2026-05-13 Wayback snapshot cited here and cross-checked against BNP's 2023-05-11 press release (group.bnpparibas/en/press-release/bnp-paribas-details-and-strengthens-its-energy-transition-ambitions, accessed in browser)."
Societe Generale,bank,"Group E&S financing criteria; Oil & Gas Sector Policy, April 2026 public document",partial,https://www.societegenerale.com/sites/default/files/documents/CSR/oil-gas-sector-policy.pdf,2026-07-19,"Dedicated-transaction exclusions: will not execute dedicated transactions for 'exploration, development and production of Greenfield oil and gas fields' (Greenfield = FID after 31 December 2021), new midstream associated with greenfield fields, FPSOs (any FPSO after 2025), integrated LNG fed by greenfield gas. Client exclusions: no financial products/services to any private (non-state-majority) company generating almost all revenues from upstream O&G (E&P), or any company with >30% revenues/production from Arctic O&G, Ecuadorian Amazonian oil, oil sands/extra-heavy, or shale."
Credit Agricole,bank,"Group CSR sector policy - oil and gas (November 2024)",partial,https://www.credit-agricole.com/en/pdfPreview/204747,2026-07-19,"Will not provide products/services 'to oil or gas extraction projects for which the Final Investment Decision (FID) is made after 14 December 2023, or infrastructure strictly dedicated to those new extraction projects'; 'excludes any new financing to independent producers whose activity is exclusively devoted to the exploration or production of oil and gas'; no bond-issuance advisory mandates for E&P companies except green/sustainability-linked; Arctic and shale/extra-heavy/oil-sands project exclusions; no relationships with companies deriving >=30% revenue from unconventional extraction."
ING,bank,"Bank financing stance - oil & gas industry (live web stance page)",partial,https://www.ing.com/sustainability/sustainable-business/our-stance/oil-&-gas-industry,2026-07-19,"Stopped dedicated project financing of new O&G fields and restricts midstream supporting them; 'In September 2024 we took the next step by stopping all new general financing to pure-play upstream oil & gas companies that continue to open new fields - so, including general corporate financing and bonds'; 'we will phase out the financing of upstream oil & gas activities by 2040' (lending to E&P reduced to zero); no new financing for new LNG export terminals after 2025; no shale financing in Europe (US shale via enhanced due diligence). Page undated; reflects Sept 2024 policy step."
HSBC,bank,"Group Sustainability Risk Policies Framework - Energy policy (November 2025)",partial,https://www.hsbc.com/-/files/hsbc/who-we-are/pdf/251106-sustainability-risk-policies-framework.pdf?download=1,2026-07-19,"'HSBC will not provide new finance or new advisory services for the specific purposes of projects pertaining to: new O&G fields where the government permitting (or equivalent) for development of the specific field was taken after 31 December 2021; or O&G infrastructure whose primary use is in conjunction with new O&G fields'; same for dedicated shale oil, extra-heavy oil, and projects in environmentally and socially critical areas, and at corporate level where a client's operations are substantially in those areas. Restriction is project-dedicated; general corporate finance to diversified producers continues under client transition plan framework."
Barclays,bank,"Climate Change Statement, December 2025 - Upstream and Unconventional Oil & Gas financing restrictions",partial,https://home.barclays/content/dam/home-barclays/documents/citizenship/our-reporting-and-policy-positions/Climate-Change-Statement.pdf,2026-07-19,"'We will not provide project finance for expansion projects or infrastructure projects primarily to be used for such expansion projects' and no other direct financing to Energy Groups for such projects (Expansion = upstream projects with FID after a defined date); no financing to new clients that are Energy Groups with >10% of planned O&G capex in expansion; 'We will not provide financing to Oil Sands exploration and production companies'; Amazon Biome, Arctic Circle, UK/EU fracking and >20% unconventional-production entity exclusions."
NatWest Group,bank,"Energy Supply Sectors E&S Risk Acceptance Criteria (27 February 2026)",partial,https://www.natwestgroup.com/content/dam/natwestgroup_com/natwestgroup/Docs/web-pages/sustainability/rac/NWG-2026-ES-Energy-Supply-Sectors-HRV01.00-2.pdf.coredownload.pdf,2026-07-19,"'We do not provide direct Financing (including Project Finance) for the specific purpose of: ... Exploration for new oil and gas reserves', onshore shale E&P, oil sands, coal-bed methane/coal liquefaction, oil in Arctic/Antarctic waters, Arctic Refuge, ultra deep-water; no financing to major O&G companies not committed to GGFR and Zero Routine Flaring by 2030; >10% revenue thresholds for corporate-purpose financing of listed unconventionals. Caution: 2025 review softened earlier criteria - the previous requirement for a credible transition plan was removed and development/production of new conventional fields is no longer expressly prohibited (only exploration for new reserves)."
Allianz,insurer,"P&C commercial underwriting incl. facultative reinsurance + proprietary investments; Statement on oil and gas business models (version 2025, valid from 10 October 2025)",partial,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/responsibility/documents/allianz-statement-on-oil-and-gas-2025.pdf,2026-07-19,"'Since 1st of January 2023 we do not issue new single-site/stand-alone P&C commercial insurance policies/coverages and not provide new funding for projects in: exploration and development of new oil and new gas fields (upstream), construction of new midstream infrastructure related to oil, construction of new oil power plants,' plus Arctic (ex-Norway)/Antarctic, coal-bed methane, extra-heavy oil, oil sands, ultra-deep sea; since 1 July 2023 no renewals of such covers; since 1 January 2025 net-zero-by-2050 commitment expected from largest producers (>60m boe production in 2020) for company-level cover/investment. Treaty reinsurance not in scope."
AXA,insurer,"AXA Group Energy Policy, July 2023 (underwriting restrictions phased to 1 September 2025) - underwriting + General Account investments",partial,https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/c203dbca-9714-43c2-b955-b9013f6936fd_AXA_Energy_Policy_2023.pdf,2026-07-19,"'From 1 January 2024, for upstream oil greenfield exploration and development projects, and from 1 September 2025, for upstream gas greenfield exploration and development projects, AXA will not provide new stand-alone site-specific insurance policies for upstream greenfield oil and gas exploration or upstream development projects licensed after 31 December 2021'; applies to stand-alone policies and facultative reinsurance (not employee benefits or treaty); 'Exceptions may be granted to companies with climate transition plans in place'; Arctic AMAP (ex-Norway) and ultra-deepwater (>1500m) greenfield exclusions; oil sands and fracking company thresholds for investment/insurance."
Munich Re,insurer,"Group investments + primary insurance + facultative and direct (re)insurance; approach to fossil fuels (version referencing Climate Ambition 2030, December 2025)",partial,https://www.munichre.com/content/dam/munichre/contentlounge/website-pieces/documents/MunichRes-approach-to-fossil-fuels-in-underwriting-and-investment.pdf/_jcr_content/renditions/original./MunichRes-approach-to-fossil-fuels-in-underwriting-and-investment.pdf,2026-07-19,"'Munich Re does not invest in or (re)insure contracts/projects exclusively covering the planning, financing, construction or operation of: new oil and gas fields in which, as at 31 December 2022, no prior production had taken place', new oil midstream infrastructure, new oil-fired power plants; no new LNG (re)insurance if directly and exclusively linked to new gas fields; 'does not conduct new direct investments in pure-play oil and gas companies'; integrated majors require credible net-zero-2050 commitment for new direct investment. Treaty reinsurance not in scope; oil sands insurance exclusions in place."
